Date,Exhibition,10.00 - 11.00,11.00 - 12.00,12.00 - 13.00,13.00 - 14.00,14.00 - 15.00,15.00 - 16.00,16.00 - 17.00,17.00 - 20.00,Total
25/08/2006,Keith Coventry,0,0,15,15,10,10,8.5,8.5,67
25/08/2006,How To Do White,0,0,2.5,2.5,1.5,1.5,2.5,2.5,13
24/08/2006,How To Do White,0,0,3.5,3.5,1,1,5.5,5.5,20
24/08/2006,Keith Coventry,0,0,2.5,2.5,1,1,9,9,25
23/08/2006,Keith Coventry,0,0,2,2,6,6,16.5,21.5,54
23/08/2006,How To Do White,0,0,4,4,3,3,4.5,27.5,46
22/08/2006,Keith Coventry,0,0,1,1,11,11,19.5,19.5,63
22/08/2006,How To Do White,0,0,2.5,2.5,2,2,1,1,11
20/08/2006,Keith Coventry,0,0,0,0,10,10,36.5,36.5,93
20/08/2006,How To Do White,0,0,0,0,3.5,3.5,14.5,14.5,36
20/08/2006,Indepen-Dance,0,0,0,0,2,2,8,8,20
19/08/2006,Keith Coventry,0,0,0,0,11.5,11.5,24.5,64.5,112
19/08/2006,How To Do White,0,0,0,0,1,1,3,3,8
18/08/2006,Keith Coventry,0,0,1,1,7.5,7.5,18.5,30.5,66
18/08/2006,Indepen-Dance,0,0,0,0,4.5,4.5,10.5,10.5,30
18/08/2006,How To Do White,0,0,1,1,1.5,1.5,4.5,4.5,14
16/08/2006,Indepen-Dance,0,0,2.5,2.5,2.5,2.5,1.5,1.5,13
15/08/2006,Indepen-Dance,0,0,1,1,8,8,2,2,22
13/08/2006,Indepen-Dance,0,0,0,0,5,5,2.5,2.5,15
12/08/2006,Indepen-Dance,0,0,0,0,0,0,4,4,8
11/08/2006,Indepen-Dance,0,0,0,0,1.5,1.5,0.5,0.5,4
10/08/2006,Indepen-Dance,0,0,0,0,2.5,2.5,0.5,0.5,6
09/08/2006,Indepen-Dance,0,0,0,0,3.5,3.5,2.5,14.5,24
08/08/2006,Indepen-Dance,0,0,0,0,3.5,3.5,3,16,26
07/08/2006,Indepen-Dance,0,0,0,0,9,9,7.5,7.5,33
06/08/2006,Indepen-Dance,0,0,0,0,16,16,17,43,92
05/08/2006,Indepen-Dance,0,0,0,0,7,7,3.5,24.5,42
04/08/2006,Indepen-Dance,0,0,0,0,2.5,2.5,5,20,30
03/08/2006,Indepen-Dance,0,0,0,0,3.5,3.5,4.5,20.5,32
02/08/2006,Indepen-Dance,0,0,30,30,2.5,2.5,2,11,78
30/07/2006,Coombes,0,0,0,0,10,10,7.5,7.5,35
29/07/2006,Coombes,0,0,0,0,10.5,10.5,8.5,17.5,47
28/07/2006,Coombes,0,0,0.5,0.5,5,5,4.5,4.5,20
27/07/2006,Coombes,0,0,0,0,12,12,5,5,34
26/07/2006,Coombes,0,0,2,2,5.5,5.5,4.5,4.5,5
25/07/2006,Coombes,0,0,2,2,4.5,4.5,3,3,19
23/07/2006,Coombes,0,0,0,0,4,4,7,18,33
22/07/2006,Coombes,0,0,0,0,6.5,6.5,8.5,17.5,39
21/07/2006,Coombes,0,0,2.5,2.5,2.5,2.5,1,13,24
20/07/2006,Coombes,0,0,0.5,0.5,2,2,6,13,24
19/07/2006,Coombes,0,0,1,1,1.5,1.5,2.5,12.5,20
18/07/2006,Coombes,0,0,2,2,3.5,3.5,5,20,36
16/07/2006,Coombes,0,0,0,0,2.5,2.5,5.5,11.5,22
15/07/2006,Coombes,0,0,2.5,2.5,2.5,2.5,4.5,11.5,26
14/07/2006,Coombes,0,0,1,1,5,5,11,11,34
13/07/2006,Coombes,0,0,1,1,2,2,5,5,16
12/07/2006,Coombes,0,0,4,4,6.5,6.5,10,10,41
11/07/2006,Coombes,0,0,1.5,1.5,5,5,3,3,19
09/07/2006,Coombes,0,0,0,0,9,9,11,11,40
08/07/2006,Coombes,0,0,0,0,16,16,12,12,56
07/07/2006,Coombes,0,0,1,1,2.5,2.5,3.5,3.5,14
25/06/2006,White Plane,0,0,0,0,32.5,32.5,46,46,157
